tag,class,id,text,link
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-has-children menu-item-120154,menu-item-120154,Candidates with Criminal Antecedents Assembly Rajya Sabha Lok Sabha,
a,,,Candidates with Criminal Antecedents,https://aitcofficial.org#
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-148089,menu-item-148089,Assembly,
a,,,Assembly,https://aitcofficial.org/eci-assembly/
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-173441,menu-item-173441,Rajya Sabha,
a,,,Rajya Sabha,https://aitcofficial.org/eci-rajya-sabha/
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-235483,menu-item-235483,Lok Sabha,
a,,,Lok Sabha,https://aitcofficial.org/eci-lok-sabha/
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-has-children menu-item-9356,menu-item-9356,Media Press Releases Jago Bangla,
a,,,Media,https://aitcofficial.org#
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-147656,menu-item-147656,Press Releases,
a,,,Press Releases,https://aitcofficial.org/press-releases/
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-9362,menu-item-9362,Jago Bangla,
a,,,Jago Bangla,http://aitcofficial.org/jago-bangla
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-43033,menu-item-43033,Contact Us,
a,,,Contact Us,https://aitcofficial.org/contact-us/
li,donate-wrap menu-item menu-item-type-post_type menu-item-object-page menu-item-84685,menu-item-84685,DONATE,
a,,,DONATE,https://aitcofficial.org/donation/
div,filters,,Rest of India Assam Gallery Press Release Tripura Gallery Press Release Meghalaya Gallery Press Release Goa Gallery Press Release SEARCH,
div,filter-belt,,Rest of India Assam Gallery Press Release Tripura Gallery Press Release Meghalaya Gallery Press Release Goa Gallery Press Release,
a,trending-toggler toggler,,Rest of India,https://aitcofficial.org#
span,,,Rest of India,
div,rest-of-india dropdown,,Assam Gallery Press Release Tripura Gallery Press Release Meghalaya Gallery Press Release Goa Gallery Press Release,
li,,,Assam Gallery Press Release,
a,roi-toggler,,Assam,https://aitcofficial.org#
li,,,Gallery,
a,,,Gallery,https://aitcofficial.org/photo-albums?state=assam
li,,,Press Release,
a,,,Press Release,https://aitcofficial.org/press-releases?state=assam
li,,,Tripura Gallery Press Release,
a,roi-toggler,,Tripura,https://aitcofficial.org#
li,,,Gallery,
a,,,Gallery,https://aitcofficial.org/photo-albums?state=tripura
li,,,Press Release,
a,,,Press Release,https://aitcofficial.org/press-releases?state=tripura
li,,,Meghalaya Gallery Press Release,
a,roi-toggler,,Meghalaya,https://aitcofficial.org#
li,,,Gallery,
a,,,Gallery,https://aitcofficial.org/photo-albums?state=meghalaya
li,,,Press Release,
a,,,Press Release,https://aitcofficial.org/press-releases?state=meghalaya
li,,,Goa Gallery Press Release,
a,roi-toggler,,Goa,https://aitcofficial.org#
li,,,Gallery,
a,,,Gallery,https://aitcofficial.org/photo-albums?state=goa
li,,,Press Release,
a,,,Press Release,https://aitcofficial.org/press-releases?state=goa
div,filter-belt,,SEARCH,
a,srch-toggler toggler,,SEARCH,https://aitcofficial.org#
span,,,SEARCH,
