tag,class,id,text,link,sentiment
section,content-area col-sm-12 col-lg-8,primary,"Tag: TMCP Grand rally in Kolkata to celebrate Trinamool Chhatra Parishad’s foundation day Posted on August 28, 2019 | by aitc | Leave a Comment on Grand rally in Kolkata to celebrate Trinamool Chhatra Parishad’s foundation day Today, August 28, is the foundation day of Trinamool Chhatra Parishad (TMCP), the students’ wing of All India Trinamool Congress. Like every year, there will be huge student rallies in Kolkata and across Bangla. The biggest rally will take place in Kolkata, at the Mayo Road crossing, in preparation for which hoardings have been installed all over the city. Trinamool Congress Chairperson Mamata Banerjee will be the chief speaker. Abhishek Banerjee as well as student leaders from across the State will be present, some of whom will address the gathering too. Everyone is waiting eagerly for the message that Mamata Banerjee has for the student community, and on how the TMCP should move forward to achieve its objectives. Posted in AITC | Tagged Abhishek Banerjee, AITC, All India Trinamool Congress, Foundation Day, Mamata, Mamata Banerjee, TMCP, Trinamool Congress, মমতা বন্দ্যোপাধ্যায় TMCP sweeps CU student union polls Posted on January 29, 2017 | by aitc | Leave a Comment on TMCP sweeps CU student union polls It was a cakewalk for Trinamool Congress Chhatra Parishad (TMCP) in the Calcutta University union elections held on Saturday across the four campuses of College Street, Rajabazar, Ballygunge and Alipore. In the 140 seats contested, SFI and DSO won 15 seats and 14 seats respectively. TMCP won the remaining seats. In all, there are 840 seats on eight campuses of CU. Of which 673 were won uncontested by the TMCP. কলকাতা বিশ্ববিদ্যালয়ের ছাত্রভোটে জয়ী টিএমসিপি কলকাতা বিশ্ববিদ্যালয়ের ছাত্র সংসদ নির্বাচনে ৮২০টি আসনের মধ্যে তৃণমূল ছাত্র পরিষদ একাই পেয়েছে ৭৫০রও বেশি আসন। মোট ৮২০ জন ছাত্র প্রতিনিধি নির্বাচিত হয়েছে। তার মধ্যে টিএমসিপি ৬৭৩টি আসনে বিনা প্রতিদ্বন্দীতায় জয় লাভ করে। বালিগঞ্জ ক্যাম্পাসে ৭৬টি আসনে বিনা প্রতিদ্বন্দ্বিতায় জয়ী হয়েছে টিএমসিপি। ১১টি আসনে জিতেছে সংগঠন। হোম সায়েন্সে টিএমসিপি বিনা প্রতিদ্বন্দ্বিতায় ৩২টি আসনে জয়ী হয়েছে। ল ক্যাম্পাসে ৪৫টি আসনে, সল্টলেক ক্যাম্পাসে ৫৩টি আসনে, কঁাটাকল ক্যাম্পাসে (অর্থনীতি) ২৯টি আসনে বিনা প্রতিদ্বন্দ্বিতায় জয়ী তৃণমূলের ছাত্র সংগঠন। রাজাবাজার ক্যাম্পাসে ১২৭টি আসনে বিনা প্রতিদ্বন্দ্বিতায় জিতেছে তারা। কলেজ স্ট্রিট ক্যাম্পাসে টিএমসিপি ভোটে জিতেছে ৭২টি আসনে। বিনা প্রতিদ্বন্দ্বিতায় জয়ী ১৮৬টি আসনে। আলিপুর ক্যাম্পাসে ভোটে ৩৯টি আসনে ও বিনা প্রতিদ্বন্দ্বিতায় জয়ী ১০০টি আসনে। জুট বিভাগে ভোটে ২টি ও বিনা প্রতিদ্বন্দ্বিতায় জয়ী ১২টি আসনে। Posted in AITC | Tagged AITC, All India Trinamool Congress, Bengal, Calcutta University, CU, Kolkata, student union, TMCP, Trinamool, Trinamool Chhatra Parishad, Trinamool Congress, West Bengal Trinamool Chairperson slams the Centre at TMCP Foundation Day rally Posted on August 26, 2016 | by admin2 | Leave a Comment on Trinamool Chairperson slams the Centre at TMCP Foundation Day rally Trinamool Congress Chairperson Mamata Banerjee addressed student activists today at a rally held near the statue of Mahatma Gandhi on Mayo Road. Slamming the Centre for interference in State matters, she said if the Centre did not stop interfering in three months, a protest would be held at Delhi. She also condemned the bandh culture of CPI(M) and said no bandh will be allowed in Bengal. The Chairperson asked the students to maintain discipline and work for nation-building. She urged them to take proactive roles in mass awareness about various schemes and programmes of the government. She announced that Youth Welfare Department of the government will also look after Students’ Welfare from now. FIVE THINGS MAMATA BANERJEE SAID AT THE RALLY: On student politics Politics should be for serving people, for nation-building. All politicians are not bad. If 1 per cent people are bad you cannot blame 99 per cent good people. Our students and youths are the future of the country. My foundation in politics was through student politics. Those who emerge from student activism they can never become thieves; they work for people. You can either work for a company or create an institution that creates jobs for lakhs for people. On recruitment of teachers Government is ready to initiate teachers’ appointment in 65000 vacant positions. Few politicians filed case against teachers’ recruitment and are now demanding why teachers are not getting jobs. On Centre’s neglect Centre has stopped giving us funds. They owe us Rs 1700 crore under 100 Days’ Work. Centre used to give 90 per cent funds for ICDS. Now they provide only 10 per cent. Centre wants States to provide 40-50 per cent funds for most schemes. But they will name every scheme after PM. They have completely destroyed the country. Delhi babus must not forget State governments are also elected by the people. People have the final say in a democracy. Centre’s budget for Beti Bachao scheme is Rs 100 crore for whole country. Our budget for Kanyashree is Rs 1000 crore. Will Narendra Modi buy a new suit with the money he is saving by stopping funds for welfare schemes? Our earning is Rs 40000 crore but thanks to the CPM, we have to pay debt instalment worth Rs 50000 crore. We will hit the streets if central interference and debt problem is not solved within 3 months. On Aadhaar Centre wants to make Aadhaar card mandatory. But they have not yet finished registration process. There is an order from Supreme Court saying Aadhaar is not mandatory. But Centre has stopped scholarships and pensions. Centre must not make Aadhaar mandatory for scholarships until 100 percent registration is over. If Centre stops scholarships, student community will protest. On bandhs Trinamool does not supports Bandhs. We are ready to debate and discuss the grievances of labourers. CPM believes in dadagiri in the name of bandhs. Trinamool will not allow bandh in Bengal. We will ensure normalcy of public life. Govt will compensate the properties damaged during bandhs. We will take stern action against bandh enforcers. Opposition only exists in TV studios. If press stops covering their events, they will give up protests. তৃণমূলের ছাত্র সমাবেশে কেন্দ্রকে তুলোধনা করলেন মমতা বন্দ্যোপাধ্যায় আজ মেয়ো রোডে গান্ধী মূর্তির পাদদেশে তৃণমূল ছাত্র পরিষদের সভার আয়োজন করা হয়েছিল। সভায় বক্তব্য রাখলেন তৃণমূল কংগ্রেসের সভানেত্রী মমতা বন্দ্যোপাধ্যায়। প্রতি বছর ২৮শে আগস্ট তৃণমূল ছাত্র পরিষদের প্রতিষ্ঠা দিবস হিসেবে পালিত হয়। তৃণমূল নেত্রী সহ অধিকাংশ তৃণমূল নেতারাই তাদের রাজনৈতিক জীবন শুরু করেছেন ছাত্র জীবন থেকে। রাজনীতির অর্থ মানুষকে সেবা করা, জাতি গঠন করা। সব রাজনীতিবিদরা খারাপ নন। যদি ১ শতাংশ মানুষ খারাপ হন, তাহলে বাকি ৯৯ শতাংশ ভালো মানুষকে খারাপ বলা উচিত নয়। ছাত্র ও যুবরাই আমাদের দেশের ভবিষ্যৎ, এদিন মঞ্চ থেকে এই বার্তাই দেন নেত্রী। নেত্রীর বক্তব্যের কিছু অংশ: ছাত্র জীবন থেকেই আমার রাজনীতি শুরু যারা ছাত্রজীবন থেকে সংগ্রাম করে, তারা কখনো চোর হয় না, তারা মানুষের জন্য কাজ করে আপনি কোন কোম্পানির হয়ে কাজ করতে পারেন অথবা কোন প্রতিষ্ঠান ও তৈরি করতে পারেন যার মাধ্যমে অনেক মানুষের কর্মসংস্থান হবে বেশ কিছু রাজনীতিবিদ শিক্ষকদের নিয়োগ বিরুদ্ধে মামলা দায়ের করেছে এবং এখন কেন শিক্ষকরা চাকরি পাচ্ছেন না কাজ দাবী করছে বাম আমলে একটু বৃষ্টিতেই কলকাতায় সারাদিন জল জমে থাকত, এখন জল জমলে তা পাম্প করে তা নামিয়ে দেওয়া হয় মানুষের সেবা করাই আমার কাজ। আমি তাই করব ছাত্র-ছাত্রীদের অসীম দায়িত্ব। আমি বাংলার ছাত্রছাত্রীদের অনুরোধ করব তারা যেন তাদের রাজ্যকে ভুলে না যান আমরা মাল্টি সুপার স্পেশালটি হসপিটাল তৈরি করছি, সেখানে আমাদের অনেক ডাক্তার প্রয়োজন কেন্দ্রের উচিত মেডিকেলের আসন সংখ্যা বৃদ্ধি করা। এতে সব রাজ্যই উপকৃত হবে কেন্দ্র আমাদের টাকা দেওয়া বন্ধ করে দিয়েছে। ১০০ দিনের কাজে আমাদের ১৭০০ কোটি টাকা বকেয়া রেখেছে আইসিডিএস এর ৯০% টাকা দেওয়ার কথা কেন্দ্রের, এখন তারা ১০% টাকা দিচ্ছে কেন্দ্র চায় রাজ্য অধিকাংশ প্রকল্পের ৪০-৫০% টাকা দিক, কিন্তু সব প্রকল্পের নাম প্রধানমন্ত্রীর নামে সারা দেশে ‘বেটি বাঁচাও বেটি পড়াও’ প্রকল্পে কেন্দ্রের বরাদ্দ ১০০ কোটি আর কন্যাশ্রী প্রকল্পে আমাদের বরাদ্দ অর্থ ১০০০ কোটি টাকা আধার কার্ড বাধ্যতামূলক করতে চায় কেন্দ্র। কিন্তু ওরা এখনোও রেজিস্ট্রেশন প্রক্রিয়াই সম্পূর্ণ করেনি যে সব উন্নয়নমূলক প্রকল্পের টাকা দেওয়া বন্ধ করে দিয়েছে সেই টাকা দিয়ে কি নরেন্দ্র মোদী নিজের পোশাক কিনছেন ওরা দেশটাকে ধ্বংস করে দিচ্ছে দিল্লির বাবুদের একথা ভুলে গেলে চলবে না রাজ্যের সরকার জনগণ দ্বারা নির্বাচিত হয়েছে নারায়ণী সেনাকে প্রশিক্ষণ দিচ্ছে বি এস এফ। কেউ কেউ আবার তা সমর্থন করছে, কি অহংকার ওরা জনগণনা ভুলে গিয়ে গরুগণনা করছে সুপ্রিম কোর্ট বলেছে আধার কার্ড বাধ্যতামূলক করা যাবে না। কিন্তু কেন্দ্র স্কলারশিপ ও পেনশনের টাকা দেওয়া বন্ধ করে দিয়েছে গণতন্ত্রে মানুষই শেষ কথা বলে ১০০% রেজিস্ট্রেশন সম্পূর্ণ না হওয়া পর্যন্ত আধার কার্ড বাধ্যতামূলক করা উচিত নয় কেন্দ্রের কেন্দ্র স্কলারশিপ দেওয়া বন্ধ করে দিলে ছাত্র সংগঠন তার প্রতিবাদ করবে আমাদের অ্যায় ৪০০০০ কোটি টাকা কিন্তু সিপিএমের দেনায় দায় দায় আমরা বহন করছি, তাই ঋণ দিতে হচ্ছে ৫০০০০ কোটি টাকা কেন্দ্র হস্তক্ষেপ করা বন্ধ না করলে এবং তিন মাসের মধ্যে সমস্যার সমাধান না করলে আমরা রাস্তায় নামব দলিত ও সংখ্যালঘুদের ওপর অত্যাচারের বিরুদ্ধে আমরা কংগ্রেস প্রতিবাদের ভাষা ভুলে গেছে কেন্দ্রে যখন কংগ্রেস ক্ষমতায় ছিল, তখন রাজ্যে ক্ষমতায় ছিল সিপিএম, কেউ কোন কাজ করেনি তৃণমূল বনধকে সমর্থন করে না। আমরা শ্রমিকদের সঙ্গে সব রকম আলোচনা করতে রাজি আছি বনধএর নামে দাদাগিরি তে বিশ্বাসী সিপিএম বাংলায় বনধ তৃণমূল বরদাস্ত করবে না, আমরা শান্তিপূর্ণ ভাবে সব খোলা রাখব বনধে যেসব ক্ষতি হবে তার ক্ষতিপূরণ সরকার দেবে। জোর করে বনধ করলে আমরা কঠোর ব্যবস্থা নেব বিরোধীদের শুধু টিভিতেই দেখা যায়। যদি প্রেস ওদের মিছিলে যাওয়া বন্ধ করে দেয়, ওরা মিছিল করা বন্ধ করে দেবে ৪৬ টি নতুন কলেজ, ৩০০টি আই টি আই ও পলিটেকনিক কলেজ তৈরি হচ্ছে প্রতি বছর ১২ লক্ষ যুবক-যুবতীদের আমরা স্কিল ডেভেলপমেন্ট প্রশিক্ষণ দিচ্ছি যারা নিজেদের বিজনেস খুলতে চায় তাদের জন্য অনলাইন ব্যবস্থা করে দিয়েছি এবার থেকে যুবকল্যাণ দপ্তর ছাত্র কল্যাণ ও দেখবে সরকারের সব সচেতনতামূলক প্রচারে ছাত্রদের সামিল হওয়া উচিত সাংস্কৃতিক কারণে আমরা রাজ্যের নাম পরিবর্তন করতে চাই নতুন নাম কি হওয়া উচিত? বঙ্গ না বাংলা? মমতা বন্দ্যোপাধ্যায়ের প্রশ্ন। জনতার উত্তর – ‘বাংলা’ বাংলা হবে বিশ্ব সেরা Posted in AITC | Tagged AITC, All India Trinamool Congress, Bengal, Mamata, Mamata Banerjee, TMC, TMCP, Trinamool, Trinamool Chhatra Parishad, Trinamool Congress, West Bengal Forget 2016, CPI(M) will not come to power even in 3016: Mamata Banerjee Posted on August 28, 2015 | by admin2 | Leave a Comment on Forget 2016, CPI(M) will not come to power even in 3016: Mamata Banerjee Trinamool Chairperson Ms Mamata Banerjee today slammed the violence in the name of protests by CPI(M) in Kolkata during their Nabanna Abhiyan. She was speaking at the Trinamool Chhatra Parishad Foundation Day rally. She remarked that CPI(M) will not come to power in Bengal in 3016, let alone 2016. “Those who were engaged in vandalism and violence yesterday should see today’s rally and learn discipline. Protests do not mean goondagiri. We have also protested when we were in Opposition. We never resorted to violence,” she said. “The people have rejected the CPM. There is no bigger judge in democracy than the people. We do not support the culture of bandhs. We believe in good governance,” she added. She praised the police for showing extreme restraint although they were beaten with bricks and sticks. She challenged the CPI(M) to fight politically instead of using violence. “Challenge us with work, culture and duty, we will accept it. We do not believe in vandalism,” she said. “Have they forgotten how they used to torture Opposition activists? How many times police fired on Opposition rallies? During Singur, they wanted to ensure lone TMC MP is eliminated. Today we have 46 MPs in Parliament,” Didi said. She said people have rejected the archaic politics of disruption and terror. “Why did they not create jobs for students and youth for 34 years,” she demanded to know. Posted in AITC, Didi Direct Event | Tagged CPI(M), CPM, Mamata, Mamata Banerjee, Mayo Road, politics, students, TMCP, Trinamool Chhatra Parishad, West Bengal New generation of leaders must emerge from students: Mamata Banerjee Posted on August 28, 2015 | by admin2 | Leave a Comment on New generation of leaders must emerge from students: Mamata Banerjee Trinamool Congress Chairperson Ms Mamata Banerjee today addressed the young party activists belonging to Trinamool Chhatra Parishad at a rally held near the Gandhi statue on Mayo Road in Kolkata. Every year a rally is held at this venue to commemorate the foundation day of the students’ wing of the party – Trinamool Chhatra Parishad. Lakhs of students owing allegiance to Trinamool Congress Chhatra Parishad in different colleges across the State took part in this programme to take guidance from the senior leadership of the party. “I am proud that I entered politics through student activism. I want a new generation of leaders to emerge from you. নতুন প্রজন্ম ধরো হাল ভারতের ঘরে ঘরে” she said while addressing the students. Mamata Banerjee reiterated that discipline was the key for student activists. She said: “We are pro-democracy. We will support democratic protests. We will not support those who try to incite violence.” “Being a political activist does not mean you will engage in violence. TMCP activists must be beacons of culture and discipline,” she added. “Short term political activism is of no value. Join politics if you are serious about long-term goals,” she advised the young activists. Stressing on the importance of respecting elders, the Chairperson said: I do not support those who disrespect teachers and hurt the Maa Mati Manush. Students must respect their teachers. If you do not show respect to elders now, you will not get respect in future.” Posted in AITC | Tagged Mamata, Mamata Banerjee, Mayo Road, students, TMCP, Trinamool Chhatra Parishad, West Bengal Trinamool Chhatra Parishad gears up for August 28 rally Posted on August 5, 2015 | by admin2 | Leave a Comment on Trinamool Chhatra Parishad gears up for August 28 rally Trinamool Congress All India General Secretary Subrata Bakshi chaired a meeting with the leaders of the Trinamool Chhatra Parishad (TMCP) on Tuesday to discuss the organizing of the students rally on August 28, marking the foundation day of TMCP. The August 28 TMCP foundation day rally is held at Rani Rashmoni Road and this year too, Trinamool Chairperson Ms Mamata Banerjee will address the rally. The party General Secretary said that there are reports of problems regarding college admission as well as hooliganism, which is hampering the clean image of Trinamool Congress. He stated that at any given circumstance the party will go against the disciplinary measures of the educational campuses. He reiterated that the State Assembly Elections being round the corner, the student activists should become more responsible and careful so that at no point, the image of the party is hampered. Veteran Student leader and MLA Tapas Roy along with senior leaders like Baishanwar Chatterjee, Shankudeb Panda and the TMCP State President Ashok Rudra were present at the meeting. It was decided that TMCP will conduct rallies in the districts to make the 28 August rally a successful one. Posted in AITC | Tagged AITC, All India Trinamool Congress, Foundation Day, Kolkata, Mamata Banerjee, rally, students, TMC, TMCP, Trinamool, Trinamool Chhatra Parishad, Trinamool Congress Mamata Banerjee’s 3 D mantra for success: Dedication, Devotion, Determination Posted on May 15, 2015 | by admin2 | Leave a Comment on Mamata Banerjee’s 3 D mantra for success: Dedication, Devotion, Determination Trinamool Congress Chairperson Ms Mamata Banerjee today addressed the young party activists belonging to Trinamool Chhatra Parishad at a workshop held at Netaji Indoor Stadium, Kolkata. The Chairperson asked students not to be depressed or upset and follow the 3 D’s for success: Dedication, Devotion, Determination. She said the huge turnout for the workshop today was an inspiration for her. Class Representatives (CR) owing allegiance to Trinamool Congress Chhatra Parishad in different colleges across the State took part in this programme to take guidance from the senior leadership of the party. Speaking on the occasion, the Chairperson was immersed in nostalgia. “I feel proud to say my initiation in politics was with student activism. Our political career started from grassroots,” she said. She urged students to work for the people and always be by their side. Criticising a section of the media for hyping small incidents, she said people have not forgotten the horrors of CPM rule in Netai, Khejuri, Nandigram or Keshpur. “We have to defeat CPM-BJP-Congress in the Assembly Elections,” she told the TMCP activists. She made it clear their ideology was supreme in Trinamool. “We withdrew support to the Centre when their policies became anti-people,” she added. She also said that a database of TMCP activists in Bengal would be built. Speaking of the development in Bengal in the last four years, the Chairperson said her government had set up 13 colleges in the last four years while Left Front set up only two in 34 years. “There were 31 colleges in Bengal till 2011. In four years we have set up 45 new colleges. There were only 1300 medical seats in Bengal till 2011. We have taken the number up to 2700 in just four years,” she added. She also highlighted the success of Kanyashree while promising that 40 lakh girl students would receive cycles in the coming months. She also took pride in the fact that treatment for cancer, cardiac ailments and Thalassemia is free in the State. Posted in AITC, Didi Direct Event | Tagged AITC, aitc chairperson, All India Trinamool Congress, Chairperson, college, Dedication, Determination, Devotion, students, students’ union, TMCP, Trinamool Congress, Trinamool Congress Chhatra Parishad Mamata Banerjee to conduct workshop for TMCP today Posted on May 15, 2015 | by admin2 | Leave a Comment on Mamata Banerjee to conduct workshop for TMCP today Trinamool Congress Chairperson Ms Mamata Banerjee will address the young party activists belonging to Trinamool Chhatra Parishad at a workshop to be held at Netaji Indoor Stadium today. Class Representatives (CR) owing allegiance to Trinamool Congress Chhatra Parishad in different colleges across the State will take part in this programme to take guidance from the senior leadership of the party. More than 12 thousand students are expected to take part in this workshop. This is the first time Trinamool Congress is organising a workshop only for the CRs. The last three years saw huge inflow and support of young people in this student’s wing of the party and TMCP forming unions in numerous colleges, engineering, medical and general stream institutions, across Bengal. The CRs, being the future leaders, will get the best guideline available from Trinamool Chairperson Ms Mamata Banerjee. Posted in AITC | Tagged AITC, All India Trinamool Congress, Bengal, Class Representatives, Education, Mamata Banerjee, TMC, TMCP, Trinamool, Trinamool Congress, Trinamool Congress Chhatra Parishad, West Bengal TMCP wins student union polls in Kolkata Posted on January 18, 2015 | by admin2 | Leave a Comment on TMCP wins student union polls in Kolkata Trinamool Chhatra Parishad (TMCP) won over 90 per cent of the seats in the students’ union elections of Calcutta University held here on Saturday. “Of the 750 seats, there was no contest in about 680 seats,” Swagata Sen, returning officer of the polls and Dean of Commerce of the University told journalists. In the remaining 70 seats, about 40 were won by the Trinamool Chhatra Parishad (TMCP), while the BJP-backed Akhil Bharatiya Vidyarthi Parishad (ABVP) won about 12 seats. The Students Federation of India (SFI), the students wing of the Communist Party of India (Marxist), had to contend with only four seats. The student wing of Congress Chhatra Parishad won three and Democratic Student Organisation won five seats in the contest. TMCP President Ashok Rudra said that the reason for the victory was that other students unions had totally lost its base among students. He also told a newspaper: “Students are showering us with votes because of the huge amount of work done by West Bengal Government in the education sector, under the leadership of Mamata Banerjee.” Posted in AITC | Tagged AITC, Education, Mamata Banerjee, students’ union, TMCP, Trinamool TMCP wins students’ union polls in North Bengal University Posted on January 3, 2015 | by admin2 | Leave a Comment on TMCP wins students’ union polls in North Bengal University Trinamool Chhatra Praishad (TMCP) has for the first time won the students’ union polls at North Bengal University. Out of 79 seats TMCP won 56 seats uncontested. TMCP has also won the students’ union polls in 75% colleges in the north Bengal region. The State Government had passed a Bill in 2013 titled The West Bengal Educational Institution’s Elections Bill, 2013, to provide for guidelines, rules and regulations regarding the manners, procedures and conduct of elections of Student Council of every Educational Institution of the State of West Bengal and such other manner connected therewith and incidental thereto. In December 2014, State Education Minister Partha Chatterjee announced the elections to all 488 colleges across the state will be held in January, 2015. It was also decided that for colleges under Kolkata police area, the additional officer in charge (OC) will be the liaison officer and he will monitor the entire students’ union election process in the colleges. Posted in AITC | Tagged AITC, Bengal, North Bengal University, students’ union, TMCP Posts navigation Older posts",,Positive
article,post-106194 post type-post status-publish format-standard has-post-thumbnail hentry category-aitc tag-abhishek-banerjee tag-aitc tag-all-india-trinamool-congress tag-foundation-day tag-mamata tag-mamata-banerjee tag-tmcp tag-trinamool-congress tag-5250,post-106194,"Grand rally in Kolkata to celebrate Trinamool Chhatra Parishad’s foundation day Posted on August 28, 2019 | by aitc | Leave a Comment on Grand rally in Kolkata to celebrate Trinamool Chhatra Parishad’s foundation day Today, August 28, is the foundation day of Trinamool Chhatra Parishad (TMCP), the students’ wing of All India Trinamool Congress. Like every year, there will be huge student rallies in Kolkata and across Bangla. The biggest rally will take place in Kolkata, at the Mayo Road crossing, in preparation for which hoardings have been installed all over the city. Trinamool Congress Chairperson Mamata Banerjee will be the chief speaker. Abhishek Banerjee as well as student leaders from across the State will be present, some of whom will address the gathering too. Everyone is waiting eagerly for the message that Mamata Banerjee has for the student community, and on how the TMCP should move forward to achieve its objectives. Posted in AITC | Tagged Abhishek Banerjee, AITC, All India Trinamool Congress, Foundation Day, Mamata, Mamata Banerjee, TMCP, Trinamool Congress, মমতা বন্দ্যোপাধ্যায়",,Positive
h2,entry-title,,Grand rally in Kolkata to celebrate Trinamool Chhatra Parishad’s foundation day,,Positive
a,,,Grand rally in Kolkata to celebrate Trinamool Chhatra Parishad’s foundation day,https://aitcofficial.org/aitc/grand-rally-in-kolkata-to-celebrate-trinamool-chhatra-parishads-foundation-day/,Positive
div,entry-meta,,"Posted on August 28, 2019 | by aitc | Leave a Comment on Grand rally in Kolkata to celebrate Trinamool Chhatra Parishad’s foundation day",,Positive
span,posted-on,,"Posted on August 28, 2019",,Neutral
a,,,"August 28, 2019",https://aitcofficial.org/aitc/grand-rally-in-kolkata-to-celebrate-trinamool-chhatra-parishads-foundation-day/,Neutral
span,comments-link,,Leave a Comment on Grand rally in Kolkata to celebrate Trinamool Chhatra Parishad’s foundation day,,Positive
a,,,Leave a Comment on Grand rally in Kolkata to celebrate Trinamool Chhatra Parishad’s foundation day,https://aitcofficial.org/aitc/grand-rally-in-kolkata-to-celebrate-trinamool-chhatra-parishads-foundation-day/#respond,Positive
span,screen-reader-text,,on Grand rally in Kolkata to celebrate Trinamool Chhatra Parishad’s foundation day,,Positive
div,entry-content,,"Today, August 28, is the foundation day of Trinamool Chhatra Parishad (TMCP), the students’ wing of All India Trinamool Congress. Like every year, there will be huge student rallies in Kolkata and across Bangla. The biggest rally will take place in Kolkata, at the Mayo Road crossing, in preparation for which hoardings have been installed all over the city. Trinamool Congress Chairperson Mamata Banerjee will be the chief speaker. Abhishek Banerjee as well as student leaders from across the State will be present, some of whom will address the gathering too. Everyone is waiting eagerly for the message that Mamata Banerjee has for the student community, and on how the TMCP should move forward to achieve its objectives.",,Positive
p,,,"Today, August 28, is the foundation day of Trinamool Chhatra Parishad (TMCP), the students’ wing of All India Trinamool Congress. Like every year, there will be huge student rallies in Kolkata and across Bangla.",,Positive
span,,,"Today, August 28, is the foundation day of Trinamool Chhatra Parishad (TMCP), the students’ wing of All India Trinamool Congress. Like every year, there will be huge student rallies in Kolkata and across Bangla.",,Positive
p,,,"The biggest rally will take place in Kolkata, at the Mayo Road crossing, in preparation for which hoardings have been installed all over the city.",,Neutral
span,,,"The biggest rally will take place in Kolkata, at the Mayo Road crossing, in preparation for which hoardings have been installed all over the city.",,Neutral
p,,,"Trinamool Congress Chairperson Mamata Banerjee will be the chief speaker. Abhishek Banerjee as well as student leaders from across the State will be present, some of whom will address the gathering too.",,Neutral
span,,,"Trinamool Congress Chairperson Mamata Banerjee will be the chief speaker. Abhishek Banerjee as well as student leaders from across the State will be present, some of whom will address the gathering too.",,Neutral
p,,,"Everyone is waiting eagerly for the message that Mamata Banerjee has for the student community, and on how the TMCP should move forward to achieve its objectives.",,Neutral
span,,,"Everyone is waiting eagerly for the message that Mamata Banerjee has for the student community, and on how the TMCP should move forward to achieve its objectives.",,Neutral
span,cat-links,,Posted in AITC,,Neutral
span,tags-links,,"Tagged Abhishek Banerjee, AITC, All India Trinamool Congress, Foundation Day, Mamata, Mamata Banerjee, TMCP, Trinamool Congress, মমতা বন্দ্যোপাধ্যায়",,Neutral
a,,,Abhishek Banerjee,https://aitcofficial.org/tag/abhishek-banerjee/,Neutral
a,,,All India Trinamool Congress,https://aitcofficial.org/tag/all-india-trinamool-congress/,Neutral
a,,,Foundation Day,https://aitcofficial.org/tag/foundation-day/,Neutral
a,,,Mamata Banerjee,https://aitcofficial.org/tag/mamata-banerjee/,Neutral
a,,,Trinamool Congress,https://aitcofficial.org/tag/trinamool-congress/,Neutral
a,,,মমতা বন্দ্যোপাধ্যায়,https://aitcofficial.org/tag/%e0%a6%ae%e0%a6%ae%e0%a6%a4%e0%a6%be-%e0%a6%ac%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%af%e0%a7%8b%e0%a6%aa%e0%a6%be%e0%a6%a7%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a7%9f/,Neutral
article,post-56221 post type-post status-publish format-standard has-post-thumbnail hentry category-aitc tag-aitc tag-all-india-trinamool-congress tag-bengal tag-calcutta-university tag-cu tag-kolkata tag-student-union tag-tmcp tag-trinamool tag-trinamool-chhatra-parishad tag-trinamool-congress tag-west-bengal,post-56221,"TMCP sweeps CU student union polls Posted on January 29, 2017 | by aitc | Leave a Comment on TMCP sweeps CU student union polls It was a cakewalk for Trinamool Congress Chhatra Parishad (TMCP) in the Calcutta University union elections held on Saturday across the four campuses of College Street, Rajabazar, Ballygunge and Alipore. In the 140 seats contested, SFI and DSO won 15 seats and 14 seats respectively. TMCP won the remaining seats. In all, there are 840 seats on eight campuses of CU. Of which 673 were won uncontested by the TMCP. কলকাতা বিশ্ববিদ্যালয়ের ছাত্রভোটে জয়ী টিএমসিপি কলকাতা বিশ্ববিদ্যালয়ের ছাত্র সংসদ নির্বাচনে ৮২০টি আসনের মধ্যে তৃণমূল ছাত্র পরিষদ একাই পেয়েছে ৭৫০রও বেশি আসন। মোট ৮২০ জন ছাত্র প্রতিনিধি নির্বাচিত হয়েছে। তার মধ্যে টিএমসিপি ৬৭৩টি আসনে বিনা প্রতিদ্বন্দীতায় জয় লাভ করে। বালিগঞ্জ ক্যাম্পাসে ৭৬টি আসনে বিনা প্রতিদ্বন্দ্বিতায় জয়ী হয়েছে টিএমসিপি। ১১টি আসনে জিতেছে সংগঠন। হোম সায়েন্সে টিএমসিপি বিনা প্রতিদ্বন্দ্বিতায় ৩২টি আসনে জয়ী হয়েছে। ল ক্যাম্পাসে ৪৫টি আসনে, সল্টলেক ক্যাম্পাসে ৫৩টি আসনে, কঁাটাকল ক্যাম্পাসে (অর্থনীতি) ২৯টি আসনে বিনা প্রতিদ্বন্দ্বিতায় জয়ী তৃণমূলের ছাত্র সংগঠন। রাজাবাজার ক্যাম্পাসে ১২৭টি আসনে বিনা প্রতিদ্বন্দ্বিতায় জিতেছে তারা। কলেজ স্ট্রিট ক্যাম্পাসে টিএমসিপি ভোটে জিতেছে ৭২টি আসনে। বিনা প্রতিদ্বন্দ্বিতায় জয়ী ১৮৬টি আসনে। আলিপুর ক্যাম্পাসে ভোটে ৩৯টি আসনে ও বিনা প্রতিদ্বন্দ্বিতায় জয়ী ১০০টি আসনে। জুট বিভাগে ভোটে ২টি ও বিনা প্রতিদ্বন্দ্বিতায় জয়ী ১২টি আসনে। Posted in AITC | Tagged AITC, All India Trinamool Congress, Bengal, Calcutta University, CU, Kolkata, student union, TMCP, Trinamool, Trinamool Chhatra Parishad, Trinamool Congress, West Bengal",,Neutral
