tag,class,id,text,link,sentiment
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-173441,menu-item-173441,Rajya Sabha,,Neutral
a,,,Rajya Sabha,https://aitcofficial.org/eci-rajya-sabha/,Neutral
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-has-children menu-item-9356,menu-item-9356,Media Press Releases Jago Bangla,,Neutral
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-147656,menu-item-147656,Press Releases,,Neutral
a,,,Press Releases,https://aitcofficial.org/press-releases/,Neutral
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-9362,menu-item-9362,Jago Bangla,,Neutral
a,,,Jago Bangla,http://aitcofficial.org/jago-bangla,Neutral
div,filters,,Rest of India Assam Gallery Press Release Tripura Gallery Press Release Meghalaya Gallery Press Release Goa Gallery Press Release SEARCH,,Neutral
div,filter-belt,,Rest of India Assam Gallery Press Release Tripura Gallery Press Release Meghalaya Gallery Press Release Goa Gallery Press Release,,Neutral
a,trending-toggler toggler,,Rest of India,https://aitcofficial.org#,Neutral
span,,,Rest of India,,Neutral
div,rest-of-india dropdown,,Assam Gallery Press Release Tripura Gallery Press Release Meghalaya Gallery Press Release Goa Gallery Press Release,,Neutral
li,,,Assam Gallery Press Release,,Neutral
li,,,Press Release,,Neutral
a,,,Press Release,https://aitcofficial.org/press-releases?state=assam,Neutral
li,,,Tripura Gallery Press Release,,Neutral
li,,,Press Release,,Neutral
a,,,Press Release,https://aitcofficial.org/press-releases?state=tripura,Neutral
li,,,Meghalaya Gallery Press Release,,Neutral
li,,,Press Release,,Neutral
a,,,Press Release,https://aitcofficial.org/press-releases?state=meghalaya,Neutral
li,,,Goa Gallery Press Release,,Neutral
li,,,Press Release,,Neutral
a,,,Press Release,https://aitcofficial.org/press-releases?state=goa,Neutral
